Student{name='Иля', secondName='Второй', midleName='Герасимович', FIO='Иля Второй Герасимович', assessment=9.999121669888897}
Student{name='Кирилл', secondName='Второй', midleName='Викторович', FIO='Кирилл Второй Викторович', assessment=9.922620602395568}
Student{name='Аркадий', secondName='Первый', midleName='Cергеевич', FIO='Аркадий Первый Cергеевич', assessment=9.92259457230029}
Student{name='Ваня', secondName='Четвертый', midleName='Абрамович', FIO='Ваня Четвертый Абрамович', assessment=9.921510290877192}
Student{name='Аркадий', secondName='Третий', midleName='Герасимович', FIO='Аркадий Третий Герасимович', assessment=9.92133414024509}
Student{name='Иля', secondName='Шестой', midleName='Викторович', FIO='Иля Шестой Викторович', assessment=9.920717873777017}
Student{name='Полина', secondName='Шестой', midleName='Александрович', FIO='Полина Шестой Александрович', assessment=9.919478463321663}
Student{name='Иля', secondName='Седьмой', midleName='Никитич', FIO='Иля Седьмой Никитич', assessment=9.919468699682959}
Student{name='Буся', secondName='Седьмой', midleName='Ильич', FIO='Буся Седьмой Ильич', assessment=9.919350959831895}
Student{name='Иля', secondName='Восьмой', midleName='Инокентьевич', FIO='Иля Восьмой Инокентьевич', assessment=9.917949348756066}
Student{name='Кирилл', secondName='Восьмой', midleName='Cергеевич', FIO='Кирилл Восьмой Cергеевич', assessment=9.917234342863265}
Student{name='Иля', secondName='Третий', midleName='Никитич', FIO='Иля Третий Никитич', assessment=9.916976963273203}
Student{name='Алина', secondName='Седьмой', midleName='Александрович', FIO='Алина Седьмой Александрович', assessment=9.916790535713764}
Student{name='Алина', secondName='Девятый', midleName='Никитич', FIO='Алина Девятый Никитич', assessment=9.912678712861045}
Student{name='Алина', secondName='Седьмой', midleName='Инокентьевич', FIO='Алина Седьмой Инокентьевич', assessment=9.911723660490486}
Student{name='Вика', secondName='Девятый', midleName='Викторович', FIO='Вика Девятый Викторович', assessment=9.911298100624569}
Student{name='Полина', secondName='Пятый', midleName='Никитич', FIO='Полина Пятый Никитич', assessment=9.911168341515523}
Student{name='Смоук', secondName='Четвертый', midleName='Герасимович', FIO='Смоук Четвертый Герасимович', assessment=9.909669410761389}
Student{name='Ваня', secondName='Восьмой', midleName='Cергеевич', FIO='Ваня Восьмой Cергеевич', assessment=9.909175146552116}
Student{name='Иля', secondName='Шестой', midleName='Ильич', FIO='Иля Шестой Ильич', assessment=9.908295406583113}
Student{name='Болт', secondName='Шестой', midleName='Ильич', FIO='Болт Шестой Ильич', assessment=9.90819363288619}
Student{name='Буся', secondName='Девятый', midleName='Герасимович', FIO='Буся Девятый Герасимович', assessment=9.907390117841025}
Student{name='Алина', secondName='Четвертый', midleName='Герасимович', FIO='Алина Четвертый Герасимович', assessment=9.906825033988651}
Student{name='Полина', secondName='Пятый', midleName='Викторович', FIO='Полина Пятый Викторович', assessment=9.904502752524579}
Student{name='Аркадий', secondName='Третий', midleName='Инокентьевич', FIO='Аркадий Третий Инокентьевич', assessment=9.90401318945427}
Student{name='Буся', secondName='Первый', midleName='Инокентьевич', FIO='Буся Первый Инокентьевич', assessment=9.903625362575301}
Student{name='Иля', secondName='Пятый', midleName='Александрович', FIO='Иля Пятый Александрович', assessment=9.902598373684034}
Student{name='Алина', secondName='Девятый', midleName='Викторович', FIO='Алина Девятый Викторович', assessment=9.901849425222059}
Student{name='Ваня', secondName='Третий', midleName='Герасимович', FIO='Ваня Третий Герасимович', assessment=9.899276726146196}
Student{name='Болт', secondName='Четвертый', midleName='Александрович', FIO='Болт Четвертый Александрович', assessment=9.897772279504796}
Student{name='Ваня', secondName='Шестой', midleName='Александрович', FIO='Ваня Шестой Александрович', assessment=9.897755271106746}
Student{name='Вика', secondName='Седьмой', midleName='Инокентьевич', FIO='Вика Седьмой Инокентьевич', assessment=9.896978763982887}
Student{name='Полина', secondName='Второй', midleName='Никитич', FIO='Полина Второй Никитич', assessment=9.896111492378404}
Student{name='Алина', secondName='Второй', midleName='Герасимович', FIO='Алина Второй Герасимович', assessment=9.895442089945455}
Student{name='Кирилл', secondName='Седьмой', midleName='Ильич', FIO='Кирилл Седьмой Ильич', assessment=9.89481980224496}
Student{name='Аркадий', secondName='Седьмой', midleName='Александрович', FIO='Аркадий Седьмой Александрович', assessment=9.89441125643129}
Student{name='Смоук', secondName='Девятый', midleName='Александрович', FIO='Смоук Девятый Александрович', assessment=9.894284104728719}
Student{name='Иля', secondName='Седьмой', midleName='Абрамович', FIO='Иля Седьмой Абрамович', assessment=9.893618126298684}
Student{name='Кирилл', secondName='Седьмой', midleName='Абрамович', FIO='Кирилл Седьмой Абрамович', assessment=9.89355519349537}
Student{name='Кирилл', secondName='Восьмой', midleName='Александрович', FIO='Кирилл Восьмой Александрович', assessment=9.892913464514605}
Student{name='Аркадий', secondName='Четвертый', midleName='Герасимович', FIO='Аркадий Четвертый Герасимович', assessment=9.89230947444535}
Student{name='Болт', secondName='Третий', midleName='Абрамович', FIO='Болт Третий Абрамович', assessment=9.890608190682638}
Student{name='Аркадий', secondName='Седьмой', midleName='Ильич', FIO='Аркадий Седьмой Ильич', assessment=9.88948078718649}
Student{name='Буся', secondName='Третий', midleName='Ильич', FIO='Буся Третий Ильич', assessment=9.888565412947324}
Student{name='Болт', secondName='Четвертый', midleName='Cергеевич', FIO='Болт Четвертый Cергеевич', assessment=9.887999698611758}
Student{name='Аркадий', secondName='Первый', midleName='Александрович', FIO='Аркадий Первый Александрович', assessment=9.887546344470335}
Student{name='Полина', secondName='Пятый', midleName='Инокентьевич', FIO='Полина Пятый Инокентьевич', assessment=9.884179766942141}
Student{name='Иля', secondName='Шестой', midleName='Инокентьевич', FIO='Иля Шестой Инокентьевич', assessment=9.883726693633319}
Student{name='Аркадий', secondName='Седьмой', midleName='Герасимович', FIO='Аркадий Седьмой Герасимович', assessment=9.882849172772968}
Student{name='Буся', secondName='Седьмой', midleName='Ильич', FIO='Буся Седьмой Ильич', assessment=9.882721608998898}
Student{name='Иля', secondName='Пятый', midleName='Герасимович', FIO='Иля Пятый Герасимович', assessment=9.881422188626134}
Student{name='Буся', secondName='Шестой', midleName='Герасимович', FIO='Буся Шестой Герасимович', assessment=9.879432953541743}
Student{name='Кирилл', secondName='Четвертый', midleName='Никитич', FIO='Кирилл Четвертый Никитич', assessment=9.877086583775288}
Student{name='Буся', secondName='Седьмой', midleName='Герасимович', FIO='Буся Седьмой Герасимович', assessment=9.87596121037462}
Student{name='Буся', secondName='Восьмой', midleName='Абрамович', FIO='Буся Восьмой Абрамович', assessment=9.87574945611994}
Student{name='Иля', secondName='Седьмой', midleName='Викторович', FIO='Иля Седьмой Викторович', assessment=9.875152191190793}
Student{name='Иля', secondName='Первый', midleName='Инокентьевич', FIO='Иля Первый Инокентьевич', assessment=9.874456452221818}
Student{name='Вика', secondName='Шестой', midleName='Ильич', FIO='Вика Шестой Ильич', assessment=9.874076727178405}
Student{name='Буся', secondName='Шестой', midleName='Никитич', FIO='Буся Шестой Никитич', assessment=9.872882715374253}
Student{name='Иля', secondName='Второй', midleName='Герасимович', FIO='Иля Второй Герасимович', assessment=9.872806720116497}
Student{name='Аркадий', secondName='Девятый', midleName='Ильич', FIO='Аркадий Девятый Ильич', assessment=9.872520349687}
Student{name='Вика', secondName='Пятый', midleName='Инокентьевич', FIO='Вика Пятый Инокентьевич', assessment=9.872013943640317}
Student{name='Алина', secondName='Второй', midleName='Александрович', FIO='Алина Второй Александрович', assessment=9.869153241780682}
Student{name='Болт', secondName='Седьмой', midleName='Александрович', FIO='Болт Седьмой Александрович', assessment=9.868262446173748}
Student{name='Алина', secondName='Третий', midleName='Инокентьевич', FIO='Алина Третий Инокентьевич', assessment=9.868134320314105}
Student{name='Алина', secondName='Первый', midleName='Викторович', FIO='Алина Первый Викторович', assessment=9.867818194073996}
Student{name='Полина', secondName='Пятый', midleName='Никитич', FIO='Полина Пятый Никитич', assessment=9.867801076181104}
Student{name='Иля', secondName='Девятый', midleName='Викторович', FIO='Иля Девятый Викторович', assessment=9.86503693014124}
Student{name='Буся', secondName='Первый', midleName='Герасимович', FIO='Буся Первый Герасимович', assessment=9.863137446802678}
Student{name='Алина', secondName='Девятый', midleName='Инокентьевич', FIO='Алина Девятый Инокентьевич', assessment=9.862460239892547}
Student{name='Иля', secondName='Первый', midleName='Никитич', FIO='Иля Первый Никитич', assessment=9.860545485839937}
Student{name='Болт', secondName='Пятый', midleName='Абрамович', FIO='Болт Пятый Абрамович', assessment=9.860239190614413}
Student{name='Болт', secondName='Пятый', midleName='Викторович', FIO='Болт Пятый Викторович', assessment=9.859303418412605}
Student{name='Буся', secondName='Пятый', midleName='Герасимович', FIO='Буся Пятый Герасимович', assessment=9.859024119964493}
Student{name='Аркадий', secondName='Шестой', midleName='Инокентьевич', FIO='Аркадий Шестой Инокентьевич', assessment=9.85712591399826}
Student{name='Буся', secondName='Первый', midleName='Никитич', FIO='Буся Первый Никитич', assessment=9.856987872152734}
Student{name='Алина', secondName='Седьмой', midleName='Абрамович', FIO='Алина Седьмой Абрамович', assessment=9.85558831676341}
Student{name='Смоук', secondName='Восьмой', midleName='Инокентьевич', FIO='Смоук Восьмой Инокентьевич', assessment=9.855404595816514}
Student{name='Смоук', secondName='Четвертый', midleName='Викторович', FIO='Смоук Четвертый Викторович', assessment=9.852314450060483}
Student{name='Смоук', secondName='Второй', midleName='Абрамович', FIO='Смоук Второй Абрамович', assessment=9.851212529352155}
Student{name='Аркадий', secondName='Первый', midleName='Ильич', FIO='Аркадий Первый Ильич', assessment=9.849918615209157}
Student{name='Алина', secondName='Первый', midleName='Cергеевич', FIO='Алина Первый Cергеевич', assessment=9.849742683019254}
Student{name='Ваня', secondName='Второй', midleName='Абрамович', FIO='Ваня Второй Абрамович', assessment=9.849630977914147}
Student{name='Полина', secondName='Пятый', midleName='Инокентьевич', FIO='Полина Пятый Инокентьевич', assessment=9.849221007511343}
Student{name='Болт', secondName='Седьмой', midleName='Александрович', FIO='Болт Седьмой Александрович', assessment=9.849140058596399}
Student{name='Болт', secondName='Седьмой', midleName='Инокентьевич', FIO='Болт Седьмой Инокентьевич', assessment=9.847712711250484}
Student{name='Полина', secondName='Восьмой', midleName='Викторович', FIO='Полина Восьмой Викторович', assessment=9.846293164678611}
Student{name='Вика', secondName='Седьмой', midleName='Герасимович', FIO='Вика Седьмой Герасимович', assessment=9.845238985362561}
Student{name='Ваня', secondName='Седьмой', midleName='Инокентьевич', FIO='Ваня Седьмой Инокентьевич', assessment=9.840335192242494}
Student{name='Смоук', secondName='Шестой', midleName='Абрамович', FIO='Смоук Шестой Абрамович', assessment=9.838461458665144}
Student{name='Смоук', secondName='Четвертый', midleName='Ильич', FIO='Смоук Четвертый Ильич', assessment=9.838405719090545}
Student{name='Аркадий', secondName='Седьмой', midleName='Абрамович', FIO='Аркадий Седьмой Абрамович', assessment=9.837258234475959}
Student{name='Смоук', secondName='Первый', midleName='Викторович', FIO='Смоук Первый Викторович', assessment=9.835762257564774}
Student{name='Болт', secondName='Первый', midleName='Никитич', FIO='Болт Первый Никитич', assessment=9.835669726142434}
Student{name='Болт', secondName='Девятый', midleName='Герасимович', FIO='Болт Девятый Герасимович', assessment=9.835458344719544}
Student{name='Ваня', secondName='Пятый', midleName='Никитич', FIO='Ваня Пятый Никитич', assessment=9.834766513550043}
Student{name='Ваня', secondName='Третий', midleName='Абрамович', FIO='Ваня Третий Абрамович', assessment=9.834220116367998}
Student{name='Вика', secondName='Четвертый', midleName='Герасимович', FIO='Вика Четвертый Герасимович', assessment=9.833934073300844}
Student{name='Полина', secondName='Пятый', midleName='Никитич', FIO='Полина Пятый Никитич', assessment=9.833477681325055}
Student{name='Аркадий', secondName='Восьмой', midleName='Никитич', FIO='Аркадий Восьмой Никитич', assessment=9.831875454829456}
Student{name='Болт', secondName='Второй', midleName='Cергеевич', FIO='Болт Второй Cергеевич', assessment=9.83159793948799}
Student{name='Смоук', secondName='Пятый', midleName='Герасимович', FIO='Смоук Пятый Герасимович', assessment=9.831260891056246}
Student{name='Буся', secondName='Первый', midleName='Ильич', FIO='Буся Первый Ильич', assessment=9.831044384768365}
Student{name='Вика', secondName='Второй', midleName='Ильич', FIO='Вика Второй Ильич', assessment=9.829011956409047}
Student{name='Ваня', secondName='Восьмой', midleName='Герасимович', FIO='Ваня Восьмой Герасимович', assessment=9.828501738554847}
Student{name='Кирилл', secondName='Девятый', midleName='Александрович', FIO='Кирилл Девятый Александрович', assessment=9.82780480422326}
Student{name='Кирилл', secondName='Второй', midleName='Абрамович', FIO='Кирилл Второй Абрамович', assessment=9.827067766221822}
Student{name='Аркадий', secondName='Второй', midleName='Герасимович', FIO='Аркадий Второй Герасимович', assessment=9.827033971234435}
Student{name='Полина', secondName='Шестой', midleName='Абрамович', FIO='Полина Шестой Абрамович', assessment=9.826121926182962}
Student{name='Смоук', secondName='Седьмой', midleName='Инокентьевич', FIO='Смоук Седьмой Инокентьевич', assessment=9.821639680357832}
Student{name='Иля', secondName='Первый', midleName='Викторович', FIO='Иля Первый Викторович', assessment=9.819461442252098}
Student{name='Вика', secondName='Первый', midleName='Cергеевич', FIO='Вика Первый Cергеевич', assessment=9.81692647226582}
Student{name='Кирилл', secondName='Седьмой', midleName='Cергеевич', FIO='Кирилл Седьмой Cергеевич', assessment=9.816239957016702}
Student{name='Иля', secondName='Шестой', midleName='Инокентьевич', FIO='Иля Шестой Инокентьевич', assessment=9.816121910771603}
Student{name='Смоук', secondName='Четвертый', midleName='Герасимович', FIO='Смоук Четвертый Герасимович', assessment=9.815054046378389}
Student{name='Иля', secondName='Четвертый', midleName='Абрамович', FIO='Иля Четвертый Абрамович', assessment=9.814476723457858}
Student{name='Иля', secondName='Третий', midleName='Cергеевич', FIO='Иля Третий Cергеевич', assessment=9.814176361888519}
Student{name='Аркадий', secondName='Шестой', midleName='Ильич', FIO='Аркадий Шестой Ильич', assessment=9.813702651022428}
Student{name='Ваня', secondName='Пятый', midleName='Викторович', FIO='Ваня Пятый Викторович', assessment=9.81350206225255}
Student{name='Аркадий', secondName='Восьмой', midleName='Герасимович', FIO='Аркадий Восьмой Герасимович', assessment=9.813485282754709}
Student{name='Полина', secondName='Первый', midleName='Герасимович', FIO='Полина Первый Герасимович', assessment=9.810762487394209}
Student{name='Смоук', secondName='Третий', midleName='Ильич', FIO='Смоук Третий Ильич', assessment=9.810729270593008}
Student{name='Алина', secondName='Девятый', midleName='Абрамович', FIO='Алина Девятый Абрамович', assessment=9.810633413147638}
Student{name='Буся', secondName='Второй', midleName='Инокентьевич', FIO='Буся Второй Инокентьевич', assessment=9.809191427680574}
Student{name='Иля', secondName='Второй', midleName='Абрамович', FIO='Иля Второй Абрамович', assessment=9.808878227942593}
Student{name='Алина', secondName='Девятый', midleName='Викторович', FIO='Алина Девятый Викторович', assessment=9.807893581258497}
Student{name='Иля', secondName='Восьмой', midleName='Александрович', FIO='Иля Восьмой Александрович', assessment=9.807347786096832}
Student{name='Полина', secondName='Седьмой', midleName='Инокентьевич', FIO='Полина Седьмой Инокентьевич', assessment=9.8065695792852}
Student{name='Аркадий', secondName='Девятый', midleName='Александрович', FIO='Аркадий Девятый Александрович', assessment=9.806189838090374}
Student{name='Полина', secondName='Второй', midleName='Cергеевич', FIO='Полина Второй Cергеевич', assessment=9.802851279950826}
Student{name='Смоук', secondName='Девятый', midleName='Викторович', FIO='Смоук Девятый Викторович', assessment=9.800709424750174}
Student{name='Болт', secondName='Пятый', midleName='Инокентьевич', FIO='Болт Пятый Инокентьевич', assessment=9.799412851625421}
Student{name='Кирилл', secondName='Третий', midleName='Ильич', FIO='Кирилл Третий Ильич', assessment=9.799168786454683}
Student{name='Болт', secondName='Девятый', midleName='Абрамович', FIO='Болт Девятый Абрамович', assessment=9.798351383106777}
Student{name='Вика', secondName='Третий', midleName='Cергеевич', FIO='Вика Третий Cергеевич', assessment=9.798278062676152}
Student{name='Алина', secondName='Первый', midleName='Никитич', FIO='Алина Первый Никитич', assessment=9.79679669684177}
Student{name='Полина', secondName='Шестой', midleName='Абрамович', FIO='Полина Шестой Абрамович', assessment=9.793000245370992}
Student{name='Алина', secondName='Второй', midleName='Ильич', FIO='Алина Второй Ильич', assessment=9.790853112381924}
Student{name='Буся', secondName='Шестой', midleName='Абрамович', FIO='Буся Шестой Абрамович', assessment=9.790018167645458}
Student{name='Иля', secondName='Восьмой', midleName='Cергеевич', FIO='Иля Восьмой Cергеевич', assessment=9.789518793997466}
Student{name='Смоук', secondName='Пятый', midleName='Викторович', FIO='Смоук Пятый Викторович', assessment=9.78758604020744}
Student{name='Кирилл', secondName='Третий', midleName='Викторович', FIO='Кирилл Третий Викторович', assessment=9.787297400553012}
Student{name='Смоук', secondName='Второй', midleName='Викторович', FIO='Смоук Второй Викторович', assessment=9.787174518967152}
Student{name='Вика', secondName='Четвертый', midleName='Александрович', FIO='Вика Четвертый Александрович', assessment=9.786907289106809}
Student{name='Вика', secondName='Девятый', midleName='Ильич', FIO='Вика Девятый Ильич', assessment=9.785405364026584}
